host_id,host_name,host_since,host_location,host_response_time,host_is_superhost,host_listings_count
483863108,Sergio,2022-10-16,"Málaga, Spain",within an hour,t,5
10390988,M,2013-12-02,"Málaga, Spain",within an hour,t,9
496597401,Ildiko,2023-01-17,"Málaga, Spain",within an hour,f,4
333355438,Alicia,2020-02-04,Unknown,within an hour,t,2
89350028,Bibiana,2016-08-11,Unknown,within an hour,f,1
469588503,Acentos,2022-07-15,Unknown,within an hour,f,1
313199119,Francisco,2019-11-29,"Málaga, Spain",within an hour,f,2
18853939,Abililla Apartamentos Granada,2014-07-25,"Granada, Spain",within a few hours,f,10
3312888,Pabloft Malaga,2012-08-20,Spain,within an hour,t,4
563191736,Fylachtó,2024-02-21,"Málaga, Spain",within an hour,f,1
208615937,Eduardo Vladimir,2018-08-10,"Málaga, Spain",within an hour,f,3
241993135,Leavetown,2019-02-09,"Andalusia, Spain",within an hour,f,8
397481104,Lidia,2021-04-18,Unknown,within an hour,f,6
468484096,Rocio,2022-07-09,Unknown,Unknown,f,2
108414989,Elena,2016-12-25,Unknown,within a day,f,3
497695111,Juan,2023-01-24,Unknown,within an hour,f,2
272461076,Aida Y Guido,2019-06-30,"Gijón, Spain",within an hour,t,1
67791645,Alina,2016-04-18,"Andalusia, Spain",within an hour,t,1
2280397,Geoff & Richard,2012-05-03,"London, United Kingdom",within a few hours,t,1
118703063,Margarita,2017-03-01,"Torre de Benagalbón, Spain",within an hour,t,1
523617560,Ignacio,2023-07-04,Unknown,within a day,f,27
497097821,Paul,2023-01-20,Unknown,Unknown,f,1
23218823,Josiane,2014-11-01,"Andalusia, Spain",within an hour,f,3
571194565,Catherin,2024-04-08,Unknown,within an hour,f,2
541716808,Yassine,2023-10-13,"Málaga, Spain",within an hour,f,6
142688812,Rafael,2017-07-26,"Málaga, Spain",within an hour,t,1
12149473,María José,2014-02-11,"Málaga, Spain",within an hour,t,2
41543634,Joaquín,2015-08-15,"Cártama, Spain",Unknown,f,1
111153560,Adela,2017-01-12,"Málaga, Spain",within an hour,t,2
70893859,Rebecca,2016-05-08,"London, United Kingdom",within an hour,f,1
116557259,Jose Luis/ Mª Dolores,2017-02-15,"Málaga, Spain",within an hour,f,1
