listing_id,host_id,longitude,latitude,room_type,accommodates,instant_bookable,base_price
1165397168478662409,579817208,-4.367731623351574,36.721861069667696,Entire home/apt,6,f,133.0
877572133740139288,511745341,-4.4344,36.72666,Entire home/apt,2,f,70.0
1001797846447782929,89653097,-4.433557547101155,36.72459144447732,Entire home/apt,3,t,120.0
665706549640810680,89812313,-4.41216,36.71689,Entire home/apt,4,t,175.0
48856504,351311234,-4.41205,36.7286,Entire home/apt,4,f,149.0
761326752176540698,78650682,-4.428880299999999,36.72098039999999,Private room,2,f,59.0
4600663,23844711,-4.41467,36.73011,Entire home/apt,2,f,55.0
660637557869784213,399983594,-4.43389,36.70444,Private room,1,t,30.0
833197472235705683,399961266,-4.4114757,36.7170601,Entire home/apt,6,t,200.0
676477372222753817,470335442,-4.42777,36.72593,Entire home/apt,2,t,272.0
1003440731331065981,24525026,-4.434344,36.7081246,Private room,2,f,26.0
797164488839098487,24525026,-4.432491213083267,36.7089857526765,Private room,2,f,25.0
918571231106493007,266835011,-4.411186397483828,36.71777449936239,Entire home/apt,6,f,250.0
1085493738466993379,24525026,-4.4344398,36.7088325,Private room,2,f,26.0
939707337225041310,433266407,-4.428007142015701,36.72062756843159,Private room,2,t,1000.0
1025224929653077016,546609533,-4.43940835494819,36.70466390474213,Entire home/apt,5,f,110.0
856304825573578466,71267914,-4.43221,36.72269,Entire home/apt,4,f,130.0
799666914224796670,172526759,-4.4289361,36.7212738,Private room,1,f,22.0
1157010086198360256,151527355,-4.41358,36.72942,Entire home/apt,4,t,65.0
1112217145162731183,431408711,-4.436616683920554,36.71307420692095,Entire home/apt,2,f,70.0
760626020566703088,78650682,-4.428880299999999,36.72098039999999,Private room,2,f,59.0
1147925618386984185,8014967,-4.4297959147854105,36.72703613574296,Entire home/apt,2,f,44.0
37213262,82241858,-4.424065,36.728149,Entire home/apt,8,t,179.0
782483441956914376,392227252,-4.43567,36.71318,Entire home/apt,2,t,118.0
960986691226938498,532622885,-4.4065732,36.7199252,Entire home/apt,6,f,350.0
1134502149357660386,151787435,-4.435978772218411,36.70572393048536,Entire home/apt,4,f,112.0
51239747,83374875,-4.41468,36.72319,Private room,1,f,16.0
13387060,76113358,-4.43899,36.70219,Entire home/apt,5,t,100.0
675750408693189521,470335442,-4.42829,36.72465,Entire home/apt,2,t,216.0
14265275,27205638,-4.42538,36.72769,Entire home/apt,3,f,80.0
593189511052577419,424660646,-4.435415,36.725887,Entire home/apt,3,f,110.0
954285520187527130,33989100,-4.432037646390449,36.70840122335176,Entire home/apt,4,f,117.0
51876582,55504381,-4.42429,36.72691,Entire home/apt,3,t,84.0
864461508115030752,48429489,-4.424309300000001,36.72515569999999,Entire home/apt,5,f,197.0
30416063,228352661,-4.42214,36.71539,Private room,3,f,38.0
855530673981425809,57881823,-4.42531,36.72754,Entire home/apt,4,t,90.0
1132630995867487598,252959314,-4.416302554610886,36.72384347061594,Private room,3,t,31.0
1077371003041597758,197980390,-4.433633739886675,36.720936232063046,Entire home/apt,4,f,130.0
1085509584311565941,52119429,-4.423397129816578,36.71454574937768,Private room,2,t,69.0
1359353,7378338,-4.43499,36.70152,Entire home/apt,7,t,190.0
730491937046002078,34257023,-4.427789690483628,36.72381752956847,Entire home/apt,2,f,100.0
22700934,5995192,-4.42278,36.72479,Private room,2,f,78.0
648210894367495733,2957440,-4.42357,36.72873,Private room,2,f,35.0
1015780397376893576,544534450,-4.4275546,36.7257804,Entire home/apt,4,t,110.0
51446051,94173177,-4.42847,36.72488,Entire home/apt,6,t,77.0
1009165196578815935,525217356,-4.429455277829885,36.72323999340677,Entire home/apt,5,t,160.0
1136656035689321613,517489919,-4.4331337,36.7220991,Entire home/apt,6,t,145.0
1139967852879827170,227962,-4.435810399999999,36.7071246,Entire home/apt,3,f,140.0
53521132,102196656,-4.42337,36.71524,Entire home/apt,6,t,98.0
1184790570020281426,502008686,-4.378017600000001,36.7214216,Entire home/apt,4,f,170.0
863028411003122306,508703112,-4.44261,36.70882,Entire home/apt,5,f,96.0
52311053,30522072,-4.41613,36.72363,Entire home/apt,3,f,80.0
612936034465724329,455169686,-4.42296,36.72522,Entire home/apt,4,t,59.0
946342898501789679,91139485,-4.4165009,36.7324929,Entire home/apt,5,t,300.0
47120045,4147456,-4.43524,36.72152,Entire home/apt,4,f,70.0
1095568734447109973,425138262,-4.440899311001938,36.72867578036509,Entire home/apt,2,f,45.0
1128211002564670574,21521353,-4.4285387,36.7209721,Entire home/apt,6,t,500.0
791676805130092668,21521353,-4.4278064,36.72154039999999,Entire home/apt,4,t,250.0
676004507948494116,470335442,-4.4278,36.72455,Entire home/apt,4,t,267.0
